ID,VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,trip_type,congestion_surcharge,payment_type
T04455,2.0,2021-07-03 13:46:57,2021-07-03 13:54:52,N,1.0,41,42,1.0,1.5,8.0,0.0,0.5,4.0,0.0,,0.3,12.8,1.0,0.0,1.0
T05580,2.0,2021-07-04 10:43:35,2021-07-04 10:48:38,N,1.0,166,239,1.0,1.84,7.5,0.0,0.5,2.21,0.0,,0.3,13.26,1.0,2.75,1.0
T04344,1.0,2021-07-03 12:35:27,2021-07-03 12:52:57,N,1.0,25,61,1.0,2.8,13.5,0.0,0.5,0.0,0.0,,0.3,14.3,1.0,0.0,2.0
T00766,2.0,2021-07-01 12:42:29,2021-07-01 13:00:48,N,1.0,75,140,1.0,2.49,13.0,0.0,0.5,3.31,0.0,,0.3,19.86,1.0,2.75,1.0
T05303,2.0,2021-07-03 23:34:50,2021-07-03 23:55:24,N,1.0,112,143,1.0,5.39,19.5,0.5,0.5,4.71,0.0,,0.3,28.26,1.0,2.75,1.0
T04475,1.0,2021-07-03 13:54:56,2021-07-03 13:59:09,N,1.0,166,151,1.0,0.9,5.5,0.0,0.5,1.25,0.0,,0.3,7.55,1.0,0.0,1.0
T09513,1.0,2021-07-06 21:43:42,2021-07-06 22:09:22,N,1.0,93,142,1.0,12.3,35.0,3.25,0.5,9.1,6.55,,0.3,54.7,1.0,2.75,1.0
T07696,2.0,2021-07-05 21:21:25,2021-07-05 21:25:23,N,1.0,74,74,1.0,0.94,5.0,0.5,0.5,0.0,0.0,,0.3,6.3,1.0,0.0,2.0
T09888,2.0,2021-07-07 08:25:07,2021-07-07 09:24:42,N,1.0,95,237,1.0,10.87,42.0,0.0,0.5,9.11,0.0,,0.3,54.66,1.0,2.75,1.0
T09620,2.0,2021-07-07 00:18:49,2021-07-07 00:24:35,N,1.0,244,244,1.0,0.81,6.0,0.5,0.5,1.46,0.0,,0.3,8.76,1.0,0.0,1.0
T07682,2.0,2021-07-05 21:24:55,2021-07-05 21:47:53,N,1.0,93,186,2.0,11.93,34.0,0.5,0.5,8.83,6.12,,0.3,53.0,1.0,2.75,1.0
T04568,2.0,2021-07-03 14:42:41,2021-07-03 14:54:39,N,1.0,152,41,1.0,2.03,10.0,0.0,0.5,2.7,0.0,,0.3,13.5,1.0,0.0,1.0
T00333,2.0,2021-07-01 09:26:22,2021-07-01 09:38:21,N,1.0,74,166,1.0,1.96,10.0,0.0,0.5,0.0,0.0,,0.3,10.8,1.0,0.0,2.0
T00459,2.0,2021-07-01 10:26:19,2021-07-01 10:32:24,N,1.0,7,7,1.0,0.75,5.5,0.0,0.5,0.0,0.0,,0.3,6.3,1.0,0.0,2.0
T06579,1.0,2021-07-05 08:58:05,2021-07-05 09:13:34,N,1.0,75,212,1.0,5.9,19.5,0.0,0.5,1.0,0.0,,0.3,21.3,1.0,0.0,1.0
T02291,1.0,2021-07-02 09:32:29,2021-07-02 09:49:48,N,1.0,188,35,1.0,2.9,14.0,0.0,0.5,0.0,0.0,,0.3,14.8,1.0,0.0,2.0
T01617,2.0,2021-07-01 19:50:25,2021-07-01 20:01:13,N,1.0,129,83,1.0,1.09,8.0,1.0,0.5,0.0,0.0,,0.3,9.8,1.0,0.0,2.0
T04073,2.0,2021-07-03 09:46:56,2021-07-03 10:16:44,N,1.0,51,136,1.0,14.63,41.5,0.0,0.5,0.0,0.0,,0.3,42.3,1.0,0.0,1.0
T09257,2.0,2021-07-06 18:36:40,2021-07-06 18:46:23,N,1.0,74,74,1.0,1.28,8.0,1.0,0.5,0.0,0.0,,0.3,9.8,1.0,0.0,2.0
T02942,2.0,2021-07-02 15:29:20,2021-07-02 15:36:32,N,1.0,41,41,1.0,0.91,6.5,0.0,0.5,0.0,0.0,,0.3,7.3,1.0,0.0,2.0
T01825,2.0,2021-07-01 22:13:14,2021-07-01 22:16:53,N,1.0,75,263,1.0,0.79,4.5,0.5,0.5,1.74,0.0,,0.3,7.54,1.0,0.0,1.0
T09078,2.0,2021-07-06 17:08:39,2021-07-06 17:21:17,N,1.0,41,166,1.0,1.72,10.0,1.0,0.5,0.0,0.0,,0.3,11.8,1.0,0.0,2.0
T04894,2.0,2021-07-03 17:31:10,2021-07-03 17:40:38,N,1.0,74,263,1.0,1.91,9.0,0.0,0.5,2.26,0.0,,0.3,14.81,1.0,2.75,1.0
T05690,2.0,2021-07-04 12:07:05,2021-07-04 12:15:21,N,1.0,41,239,1.0,1.62,8.0,0.0,0.5,2.0,0.0,,0.3,13.55,1.0,2.75,1.0
T03527,2.0,2021-07-02 19:39:38,2021-07-02 19:52:49,N,1.0,97,181,1.0,1.58,10.0,1.0,0.5,0.0,0.0,,0.3,11.8,1.0,0.0,2.0
T00170,2.0,2021-07-01 07:11:05,2021-07-01 07:16:58,N,1.0,74,75,1.0,1.6,7.0,0.0,0.5,2.34,0.0,,0.3,10.14,1.0,0.0,1.0
T04338,2.0,2021-07-03 12:11:26,2021-07-03 12:23:08,N,1.0,75,233,1.0,3.15,11.5,0.0,0.5,0.0,0.0,,0.3,15.05,1.0,2.75,2.0
T08860,1.0,2021-07-06 15:45:09,2021-07-06 16:29:26,N,1.0,97,76,1.0,0.0,18.2,0.0,0.5,0.0,0.0,,0.3,19.0,1.0,0.0,1.0
T05678,2.0,2021-07-04 12:29:51,2021-07-04 12:52:48,N,1.0,244,41,1.0,3.46,15.5,0.0,0.5,4.0,0.0,,0.3,20.3,1.0,0.0,1.0
T08971,2.0,2021-07-06 16:14:00,2021-07-06 16:20:40,N,1.0,75,236,1.0,0.9,6.5,1.0,0.5,2.21,0.0,,0.3,13.26,1.0,2.75,1.0
T00583,2.0,2021-07-01 11:29:38,2021-07-01 11:41:06,N,1.0,41,236,1.0,1.87,9.5,0.0,0.5,0.0,0.0,,0.3,13.05,1.0,2.75,2.0
T07307,2.0,2021-07-05 17:30:33,2021-07-05 17:34:33,N,1.0,41,42,1.0,0.64,4.5,0.0,0.5,1.32,0.0,,0.3,6.62,1.0,0.0,1.0
T05879,2.0,2021-07-04 14:21:05,2021-07-04 14:28:28,N,1.0,116,41,1.0,1.63,7.5,0.0,0.5,1.66,0.0,,0.3,9.96,1.0,0.0,1.0
T02340,1.0,2021-07-02 10:52:25,2021-07-02 11:16:15,N,1.0,72,188,1.0,0.0,10.2,0.0,0.5,0.0,0.0,,0.3,11.0,1.0,0.0,1.0
T00268,1.0,2021-07-01 08:04:25,2021-07-01 08:04:32,N,1.0,74,74,1.0,1.6,2.5,0.0,0.5,0.0,0.0,,0.3,3.3,1.0,0.0,2.0
T03053,2.0,2021-07-02 15:27:06,2021-07-02 15:41:21,N,1.0,74,263,1.0,2.64,11.5,0.0,0.5,0.0,0.0,,0.3,15.05,1.0,2.75,1.0
T05294,2.0,2021-07-03 23:54:21,2021-07-04 00:05:55,N,1.0,41,74,1.0,1.57,9.5,0.5,0.5,2.16,0.0,,0.3,12.96,1.0,0.0,1.0
T05159,2.0,2021-07-03 20:43:54,2021-07-03 20:48:14,N,1.0,247,247,2.0,0.89,5.0,0.5,0.5,0.0,0.0,,0.3,6.3,1.0,0.0,2.0
T09953,2.0,2021-07-07 10:12:44,2021-07-07 10:24:42,N,1.0,82,7,1.0,2.05,10.0,0.0,0.5,2.16,0.0,,0.3,12.96,1.0,0.0,1.0
T05900,2.0,2021-07-04 15:51:09,2021-07-04 16:01:56,N,1.0,166,244,1.0,2.1,9.5,0.0,0.5,0.0,0.0,,0.3,10.3,1.0,0.0,2.0
T06395,2.0,2021-07-04 22:07:50,2021-07-04 22:18:44,N,1.0,74,140,1.0,2.81,10.5,0.5,0.5,2.91,0.0,,0.3,17.46,1.0,2.75,1.0
T09466,2.0,2021-07-06 20:55:03,2021-07-06 21:01:23,N,1.0,75,74,1.0,0.99,6.0,0.5,0.5,2.19,0.0,,0.3,9.49,1.0,0.0,1.0
T04160,2.0,2021-07-03 10:36:13,2021-07-03 10:44:51,N,1.0,75,74,5.0,1.55,8.0,0.0,0.5,0.0,0.0,,0.3,8.8,1.0,0.0,2.0
T08419,2.0,2021-07-06 11:28:23,2021-07-06 11:52:44,N,1.0,95,124,1.0,4.59,19.5,0.0,0.5,4.06,0.0,,0.3,24.36,1.0,0.0,1.0
T03368,2.0,2021-07-02 18:48:40,2021-07-02 18:56:17,N,1.0,74,168,1.0,1.43,7.0,1.0,0.5,0.0,0.0,,0.3,8.8,1.0,0.0,1.0
T07579,2.0,2021-07-05 20:43:22,2021-07-05 20:58:02,N,1.0,244,151,1.0,4.98,16.5,0.5,0.5,5.14,0.0,,0.3,25.69,1.0,2.75,1.0
T03803,2.0,2021-06-09 12:59:17,2021-06-09 13:01:04,N,5.0,130,130,3.0,0.0,30.0,0.0,0.0,0.0,0.0,,0.3,30.3,2.0,0.0,1.0
T02073,2.0,2021-07-02 07:07:42,2021-07-02 07:14:56,N,1.0,74,75,1.0,1.57,7.0,0.0,0.5,1.56,0.0,,0.3,9.36,1.0,0.0,1.0
T09660,1.0,2021-07-07 05:55:53,2021-07-07 06:04:14,N,1.0,74,75,1.0,1.5,8.0,0.0,0.5,0.0,0.0,,0.3,8.8,1.0,0.0,2.0
T00356,2.0,2021-07-01 09:12:40,2021-07-01 09:20:48,N,1.0,41,238,1.0,2.17,8.5,0.0,0.5,2.41,0.0,,0.3,14.46,1.0,2.75,1.0
T06190,2.0,2021-07-04 18:24:06,2021-07-04 18:31:39,N,1.0,169,241,2.0,1.54,8.0,0.0,0.5,0.0,0.0,,0.3,8.8,1.0,0.0,2.0
T07134,2.0,2021-07-05 16:16:33,2021-07-05 16:22:22,N,1.0,75,74,1.0,1.07,6.0,0.0,0.5,0.0,0.0,,0.3,6.8,1.0,0.0,1.0
T09645,2.0,2021-07-07 04:49:32,2021-07-07 04:51:59,N,1.0,95,95,1.0,0.64,4.0,0.5,0.5,0.0,0.0,,0.3,5.3,1.0,0.0,1.0
T07135,2.0,2021-07-05 16:26:06,2021-07-05 16:28:40,N,1.0,74,74,1.0,0.43,4.0,0.0,0.5,1.2,0.0,,0.3,6.0,1.0,0.0,1.0
T09270,2.0,2021-07-06 18:08:17,2021-07-06 18:17:31,N,1.0,166,42,1.0,1.7,8.5,1.0,0.5,0.0,0.0,,0.3,10.3,1.0,0.0,2.0
T09745,2.0,2021-07-07 07:50:15,2021-07-07 07:57:45,N,1.0,74,141,1.0,1.79,7.5,0.0,0.5,0.95,0.0,,0.3,12.0,1.0,2.75,1.0
T01547,2.0,2021-07-01 18:22:49,2021-07-01 18:37:56,N,1.0,75,162,1.0,2.51,12.5,1.0,0.5,3.41,0.0,,0.3,20.46,1.0,2.75,1.0
T04434,2.0,2021-07-03 13:23:11,2021-07-03 13:37:25,N,1.0,74,234,1.0,5.32,16.5,0.0,0.5,0.0,0.0,,0.3,20.05,1.0,2.75,2.0
T05103,2.0,2021-07-03 19:19:32,2021-07-03 19:27:04,N,1.0,75,262,1.0,1.81,8.0,0.0,0.5,2.31,0.0,,0.3,13.86,1.0,2.75,1.0
T08720,2.0,2021-07-06 14:45:33,2021-07-06 14:46:43,N,1.0,75,75,1.0,0.17,3.0,0.0,0.5,0.0,0.0,,0.3,3.8,1.0,0.0,2.0
T02059,1.0,2021-07-02 07:08:34,2021-07-02 07:18:55,N,1.0,74,75,1.0,1.7,8.5,0.0,0.5,1.85,0.0,,0.3,11.15,1.0,0.0,1.0
T03843,1.0,2021-07-02 23:37:16,2021-07-02 23:50:39,N,1.0,75,164,1.0,3.5,13.0,3.25,0.5,0.0,0.0,,0.3,17.05,1.0,2.75,1.0
T08678,2.0,2021-07-06 14:47:13,2021-07-06 14:59:35,N,1.0,42,74,1.0,1.71,10.0,0.0,0.5,0.0,0.0,,0.3,10.8,1.0,0.0,2.0
T00717,2.0,2021-07-01 12:11:05,2021-07-01 12:15:58,N,1.0,75,74,1.0,0.73,5.0,0.0,0.5,1.16,0.0,,0.3,6.96,1.0,0.0,1.0
T06198,2.0,2021-07-04 18:35:17,2021-07-04 18:47:28,N,1.0,74,166,1.0,2.19,10.5,0.0,0.5,3.39,0.0,,0.3,14.69,1.0,0.0,1.0
T07186,2.0,2021-07-05 14:33:55,2021-07-05 14:45:50,N,1.0,74,244,1.0,2.8,11.0,0.0,0.5,2.95,0.0,,0.3,14.75,1.0,0.0,1.0
T00118,2.0,2021-07-01 07:22:37,2021-07-01 07:39:03,N,1.0,33,181,1.0,3.12,12.5,0.0,0.5,3.99,0.0,,0.3,17.29,1.0,0.0,1.0
T04959,1.0,2021-07-03 18:27:22,2021-07-03 18:38:15,N,1.0,61,177,1.0,2.4,10.0,0.0,0.5,0.0,0.0,,0.3,10.8,1.0,0.0,2.0
T03454,2.0,2021-07-02 18:01:56,2021-07-02 18:52:22,N,1.0,228,86,1.0,20.63,57.5,1.0,0.5,0.0,2.45,,0.3,61.75,1.0,0.0,1.0
T06157,2.0,2021-07-04 18:46:42,2021-07-04 18:52:40,N,1.0,166,74,1.0,0.92,5.5,0.0,0.5,0.0,0.0,,0.3,6.3,1.0,0.0,2.0
T00064,2.0,2021-07-01 06:00:57,2021-07-01 07:12:35,N,1.0,240,197,1.0,21.33,73.0,0.5,0.5,0.0,6.55,,0.3,80.85,1.0,0.0,1.0
T09004,2.0,2021-07-06 16:08:02,2021-07-06 16:18:31,N,1.0,74,263,1.0,2.71,10.5,1.0,0.5,1.0,0.0,,0.3,16.05,1.0,2.75,1.0
T04938,2.0,2021-07-03 17:40:13,2021-07-03 17:56:27,N,1.0,75,170,1.0,3.16,13.5,0.0,0.5,2.45,0.0,,0.3,19.5,1.0,2.75,1.0
T05445,2.0,2021-07-04 06:22:27,2021-07-04 06:37:58,N,1.0,130,132,1.0,7.5,22.5,0.0,0.5,0.0,0.0,,0.3,23.3,1.0,0.0,2.0
T00287,2.0,2021-07-01 08:50:22,2021-07-01 08:58:27,N,1.0,74,74,1.0,1.08,7.0,0.0,0.5,0.0,0.0,,0.3,7.8,1.0,0.0,2.0
