ID,VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,trip_type,congestion_surcharge
T00423,2.0,2021-07-01 10:09:40,2021-07-01 10:21:17,N,1.0,174,112,1.0,17.34,59.0,0.0,0.5,0.0,0.0,,0.3,59.8,1.0,0.0
T05790,1.0,2021-07-04 13:00:05,2021-07-04 13:39:13,N,1.0,49,241,1.0,19.5,53.0,2.75,0.5,0.0,0.0,,0.3,56.55,1.0,2.75
T06797,2.0,2021-07-05 12:53:54,2021-07-05 12:57:13,N,1.0,42,41,2.0,0.81,5.0,0.0,0.5,0.0,0.0,,0.3,5.8,1.0,0.0
T03314,2.0,2021-07-02 17:46:15,2021-07-02 17:54:21,N,1.0,43,143,6.0,2.44,9.0,1.0,0.5,2.71,0.0,,0.3,16.26,1.0,2.75
T09694,2.0,2021-07-07 06:45:47,2021-07-07 07:23:26,N,1.0,35,197,1.0,6.53,30.5,0.0,0.5,0.0,0.0,,0.3,31.3,1.0,0.0
T05100,2.0,2021-07-03 19:30:05,2021-07-03 19:38:11,N,1.0,41,151,1.0,1.3,6.5,0.0,0.5,0.0,0.0,,0.3,7.3,1.0,0.0
T09499,2.0,2021-07-06 19:49:51,2021-07-06 20:04:29,N,1.0,97,61,2.0,2.78,12.5,0.5,0.5,3.45,0.0,,0.3,17.25,1.0,0.0
T06979,2.0,2021-07-05 14:33:27,2021-07-05 15:08:27,N,1.0,130,137,1.0,12.54,38.5,0.0,0.5,9.72,6.55,,0.3,58.32,1.0,2.75
T05012,2.0,2021-07-03 18:26:05,2021-07-03 18:33:22,N,1.0,43,263,1.0,1.17,7.0,0.0,0.5,0.0,0.0,,0.3,10.55,1.0,2.75
T05778,2.0,2021-07-04 13:59:39,2021-07-04 14:08:49,N,1.0,41,151,5.0,1.5,8.0,0.0,0.5,0.0,0.0,,0.3,8.8,1.0,0.0
T06201,2.0,2021-07-04 18:41:34,2021-07-04 18:56:39,N,1.0,74,151,1.0,2.83,12.5,0.0,0.5,2.66,0.0,,0.3,15.96,1.0,0.0
T01433,1.0,2021-07-01 17:42:30,2021-07-01 17:59:33,N,1.0,97,148,1.0,3.3,14.0,3.75,0.5,3.7,0.0,,0.3,22.25,1.0,2.75
T06239,2.0,2021-07-04 19:29:37,2021-07-04 19:36:24,N,1.0,7,146,5.0,1.58,7.0,0.0,0.5,0.0,0.0,,0.3,7.8,1.0,0.0
T06344,2.0,2021-07-04 21:23:40,2021-07-04 21:23:43,N,5.0,47,47,1.0,0.0,2.75,0.0,0.0,0.0,0.0,,0.3,3.05,2.0,0.0
T05818,2.0,2021-07-04 14:52:32,2021-07-04 15:02:39,N,1.0,75,41,1.0,1.84,9.0,0.0,0.5,0.0,0.0,,0.3,9.8,1.0,0.0
T04540,2.0,2021-07-03 15:00:25,2021-07-03 16:58:31,N,1.0,14,5,1.0,18.65,92.5,0.0,0.5,0.0,6.55,,0.3,99.85,1.0,0.0
T03097,2.0,2021-07-02 16:32:35,2021-07-02 17:22:19,N,1.0,75,220,1.0,8.73,36.0,1.0,0.5,0.0,3.0,,0.3,40.8,1.0,0.0
T04023,2.0,2021-07-03 08:46:52,2021-07-03 09:18:46,N,5.0,133,19,1.0,21.21,50.53,0.0,0.0,0.0,0.0,,0.3,50.83,1.0,0.0
T00260,2.0,2021-07-01 08:04:47,2021-07-01 08:09:23,N,1.0,74,41,1.0,0.85,5.0,0.0,0.5,0.0,0.0,,0.3,5.8,1.0,0.0
T07327,2.0,2021-07-05 18:30:58,2021-07-05 19:02:52,N,1.0,130,7,1.0,11.3,35.5,0.0,0.5,5.0,0.0,,0.3,41.3,1.0,0.0
T02762,2.0,2021-07-02 13:52:35,2021-07-02 14:03:04,N,1.0,75,75,1.0,0.55,8.0,0.0,0.5,0.0,0.0,,0.3,8.8,1.0,0.0
T06008,2.0,2021-07-04 16:52:16,2021-07-04 17:10:15,N,1.0,92,130,1.0,5.49,19.5,0.0,0.5,1.0,0.0,,0.3,21.3,1.0,0.0
T02839,2.0,2021-07-02 14:27:38,2021-07-02 14:45:22,N,1.0,95,216,1.0,4.54,16.5,0.0,0.5,1.73,0.0,,0.3,19.03,1.0,0.0
T03806,2.0,2021-07-02 22:37:35,2021-07-02 22:56:05,N,5.0,7,82,2.0,3.51,15.0,0.0,0.0,0.0,0.0,,0.3,15.3,2.0,0.0
T02130,2.0,2021-07-02 07:59:55,2021-07-02 08:20:06,N,1.0,166,243,1.0,4.9,18.0,0.0,0.5,2.0,0.0,,0.3,20.8,1.0,0.0
T00282,2.0,2021-07-01 08:43:10,2021-07-01 08:49:53,N,1.0,75,43,1.0,1.25,6.5,0.0,0.5,2.01,0.0,,0.3,12.06,1.0,2.75
T08114,2.0,2021-07-06 09:25:59,2021-07-06 09:41:59,N,1.0,41,162,1.0,3.9,14.5,0.0,0.5,0.0,0.0,,0.3,18.05,1.0,2.75
T05173,2.0,2021-07-03 20:23:28,2021-07-03 20:47:42,N,5.0,69,174,2.0,3.9,16.0,0.0,0.0,0.0,0.0,,0.3,16.3,2.0,0.0
T02576,2.0,2021-07-02 11:58:17,2021-07-02 13:24:23,N,1.0,61,265,2.0,25.68,84.0,0.0,0.5,0.0,6.55,,0.3,91.35,1.0,0.0
T01100,1.0,2021-07-01 15:17:54,2021-07-01 15:36:23,N,1.0,97,40,2.0,2.2,13.0,0.0,0.5,0.0,0.0,,0.3,13.8,1.0,0.0
T02241,2.0,2021-07-02 09:42:37,2021-07-02 09:46:35,N,1.0,42,41,1.0,0.87,5.0,0.0,0.5,0.0,0.0,,0.3,5.8,1.0,0.0
T01985,2.0,2021-07-02 05:39:55,2021-07-02 05:45:42,N,1.0,168,74,1.0,1.38,7.0,0.5,0.5,0.0,0.0,,0.3,8.3,1.0,0.0
T05572,2.0,2021-07-04 10:00:37,2021-07-04 10:05:49,N,1.0,75,74,1.0,1.65,7.0,0.0,0.5,0.0,0.0,,0.3,7.8,1.0,0.0
T00902,2.0,2021-07-01 14:37:34,2021-07-01 14:38:46,N,1.0,264,264,5.0,0.0,2.1,0.0,0.5,0.0,0.0,,0.3,2.9,1.0,0.0
T04509,2.0,2021-07-03 14:07:29,2021-07-03 14:15:25,N,1.0,41,41,1.0,0.67,6.5,0.0,0.5,0.0,0.0,,0.3,7.3,1.0,0.0
T09659,2.0,2021-07-07 05:42:40,2021-07-07 07:20:23,N,1.0,72,136,1.0,25.16,92.0,0.5,0.5,0.0,6.55,,0.3,99.85,1.0,0.0
T05889,2.0,2021-07-04 15:22:04,2021-07-04 15:35:35,N,1.0,129,82,1.0,2.03,10.5,0.0,0.5,0.0,0.0,,0.3,11.3,1.0,0.0
T05048,2.0,2021-07-03 19:46:33,2021-07-03 19:48:13,N,1.0,75,43,1.0,0.95,4.5,0.0,0.5,1.0,0.0,,0.3,6.3,1.0,0.0
T08163,2.0,2021-07-06 09:50:27,2021-07-06 09:55:37,N,1.0,75,75,1.0,0.81,5.5,0.0,0.5,0.0,0.0,,0.3,6.3,1.0,0.0
T08883,2.0,2021-07-06 15:30:46,2021-07-06 15:41:40,N,1.0,74,42,1.0,2.13,10.0,0.0,0.5,0.0,0.0,,0.3,10.8,1.0,0.0
T08731,1.0,2021-07-06 14:47:36,2021-07-06 14:57:15,N,1.0,43,43,1.0,2.1,9.5,2.75,0.5,3.25,0.0,,0.3,16.3,1.0,2.75
T08204,1.0,2021-07-06 10:38:56,2021-07-06 10:58:30,N,1.0,75,233,1.0,4.1,16.5,2.75,0.5,6.0,0.0,,0.3,26.05,1.0,2.75
T04364,2.0,2021-07-03 12:41:37,2021-07-03 12:58:57,N,1.0,65,188,1.0,3.01,13.5,0.0,0.5,2.0,0.0,,0.3,16.3,1.0,0.0
T07409,2.0,2021-07-05 18:36:59,2021-07-05 19:03:05,N,4.0,132,265,1.0,18.93,81.5,0.0,0.5,20.0,0.0,,0.3,102.3,1.0,0.0
T05666,2.0,2021-07-04 11:08:04,2021-07-04 11:12:00,N,1.0,75,74,1.0,1.14,5.5,0.0,0.5,0.0,0.0,,0.3,6.3,1.0,0.0
T04927,1.0,2021-07-03 18:53:52,2021-07-03 18:57:15,N,1.0,65,33,1.0,0.6,4.5,0.0,0.5,1.05,0.0,,0.3,6.35,1.0,0.0
T04000,2.0,2021-07-03 07:31:55,2021-07-03 07:41:07,N,1.0,75,263,1.0,1.88,9.0,0.0,0.5,1.0,0.0,,0.3,13.55,1.0,2.75
T01774,2.0,2021-07-01 21:43:35,2021-07-01 21:48:47,N,1.0,134,134,1.0,0.79,5.5,0.5,0.5,1.0,0.0,,0.3,7.8,1.0,0.0
T02508,1.0,2021-07-02 11:25:06,2021-07-02 11:29:07,N,1.0,41,152,1.0,0.5,4.5,0.0,0.5,0.0,0.0,,0.3,5.3,1.0,0.0
T04461,1.0,2021-07-03 13:50:52,2021-07-03 14:20:19,N,1.0,49,76,2.0,4.8,21.0,0.0,0.5,0.0,0.0,,0.3,21.8,1.0,0.0
T09168,1.0,2021-07-06 17:10:55,2021-07-06 17:12:22,N,1.0,97,97,1.0,0.3,3.0,1.0,0.5,0.0,0.0,,0.3,4.8,1.0,0.0
T08805,2.0,2021-07-06 15:29:55,2021-07-06 15:49:11,N,1.0,181,217,1.0,2.8,14.5,0.0,0.5,0.0,0.0,,0.3,15.3,1.0,0.0
T04334,2.0,2021-07-03 12:37:42,2021-07-03 12:45:04,N,5.0,74,75,2.0,1.02,9.0,0.0,0.0,0.0,0.0,,0.3,9.3,2.0,0.0
T04977,2.0,2021-07-03 18:04:06,2021-07-03 18:07:10,N,1.0,75,75,2.0,0.27,4.0,0.0,0.5,0.24,0.0,,0.3,5.04,1.0,0.0
T07866,2.0,2021-07-06 06:55:00,2021-07-06 08:24:15,N,1.0,173,33,1.0,16.05,63.5,0.0,0.5,0.0,0.0,,0.3,64.3,1.0,0.0
T04300,1.0,2021-07-03 11:16:26,2021-07-03 11:19:49,N,1.0,52,33,1.0,0.5,4.0,0.0,0.5,0.0,0.0,,0.3,4.8,1.0,0.0
T03763,2.0,2021-07-02 21:55:10,2021-07-02 22:13:24,N,1.0,24,233,1.0,4.47,16.0,0.5,0.5,3.01,0.0,,0.3,23.06,1.0,2.75
T07635,2.0,2021-07-05 21:33:54,2021-07-05 21:50:08,N,1.0,152,265,2.0,9.93,27.5,0.5,0.5,0.0,0.0,,0.3,28.8,1.0,0.0
T01948,2.0,2021-07-02 02:08:00,2021-07-02 02:15:38,N,1.0,74,75,1.0,1.53,7.5,0.5,0.5,0.0,0.0,,0.3,8.8,1.0,0.0
T09032,2.0,2021-07-06 16:03:49,2021-07-06 16:21:39,N,1.0,244,238,1.0,5.21,19.0,1.0,0.5,1.45,0.0,,0.3,25.0,1.0,2.75
T08418,2.0,2021-07-06 10:56:16,2021-07-06 11:04:55,N,1.0,95,196,1.0,1.37,7.5,0.0,0.5,2.08,0.0,,0.3,10.38,1.0,0.0
T00654,2.0,2021-07-01 11:21:42,2021-07-01 11:31:05,N,1.0,74,236,1.0,1.88,8.5,0.0,0.5,3.62,0.0,,0.3,15.67,1.0,2.75
T09646,2.0,2021-07-07 05:02:26,2021-07-07 05:16:48,N,1.0,74,126,1.0,3.6,13.5,0.5,0.5,0.0,0.0,,0.3,14.8,1.0,0.0
T06585,2.0,2021-07-05 08:36:55,2021-07-05 08:39:06,N,1.0,74,41,1.0,0.92,4.5,0.0,0.5,0.0,0.0,,0.3,5.3,1.0,0.0
T07363,2.0,2021-07-05 18:02:38,2021-07-05 18:27:07,N,1.0,244,68,1.0,7.98,26.5,0.0,0.5,6.01,0.0,,0.3,36.06,1.0,2.75
T00945,1.0,2021-07-01 14:24:13,2021-07-01 14:41:02,N,1.0,75,152,1.0,2.6,12.5,0.0,0.5,0.0,0.0,,0.3,13.3,1.0,0.0
T09333,2.0,2021-07-06 18:00:47,2021-07-06 18:11:56,N,1.0,43,141,1.0,1.92,10.0,1.0,0.5,3.64,0.0,,0.3,18.19,1.0,2.75
T06874,1.0,2021-07-05 13:03:25,2021-07-05 13:17:33,N,1.0,264,264,1.0,0.0,10.2,0.0,0.5,0.0,0.0,,0.3,11.0,1.0,0.0
T04725,1.0,2021-07-03 16:48:01,2021-07-03 16:56:07,N,1.0,66,45,1.0,2.1,8.5,2.75,0.5,2.5,0.0,,0.3,14.55,1.0,2.75
T03354,1.0,2021-07-02 18:14:26,2021-07-02 18:22:08,N,1.0,75,236,1.0,0.7,6.5,3.75,0.5,2.2,0.0,,0.3,13.25,1.0,2.75
T04705,2.0,2021-07-03 16:21:22,2021-07-03 16:28:24,N,1.0,52,195,1.0,1.07,6.5,0.0,0.5,0.0,0.0,,0.3,7.3,1.0,0.0
T01418,1.0,2021-07-01 17:45:00,2021-07-01 18:48:50,N,1.0,174,197,1.0,17.2,54.0,0.5,0.5,3.0,6.55,,0.3,64.85,1.0,0.0
T03342,2.0,2021-07-02 17:39:28,2021-07-02 17:45:38,N,1.0,41,42,1.0,1.09,6.0,1.0,0.5,0.0,0.0,,0.3,7.8,1.0,0.0
T09672,2.0,2021-07-07 06:21:28,2021-07-07 06:58:34,N,1.0,119,197,1.0,18.5,54.0,0.0,0.5,0.0,6.55,,0.3,61.35,1.0,0.0
T00088,1.0,2021-07-01 06:21:35,2021-07-01 06:24:22,N,1.0,74,41,1.0,0.5,4.0,0.0,0.5,0.0,0.0,,0.3,4.8,1.0,0.0
T00687,2.0,2021-07-01 12:13:23,2021-07-01 12:20:50,N,1.0,42,41,2.0,1.23,6.5,0.0,0.5,0.0,0.0,,0.3,7.3,1.0,0.0
T07366,2.0,2021-07-05 18:15:37,2021-07-05 18:34:20,N,1.0,82,198,1.0,3.67,15.0,0.0,0.5,0.0,0.0,,0.3,15.8,1.0,0.0
T02658,2.0,2021-07-02 12:46:51,2021-07-02 12:52:36,N,1.0,41,166,1.0,0.82,6.0,0.0,0.5,1.36,0.0,,0.3,8.16,1.0,0.0
T01193,2.0,2021-07-01 16:18:37,2021-07-01 16:22:37,N,1.0,74,74,1.0,0.56,4.5,1.0,0.5,0.0,0.0,,0.3,6.3,1.0,0.0
T09415,2.0,2021-07-06 19:30:51,2021-07-06 19:44:37,N,1.0,95,121,1.0,2.57,11.5,1.0,0.5,2.66,0.0,,0.3,15.96,1.0,0.0
T05332,2.0,2021-07-04 00:05:39,2021-07-04 00:06:22,N,5.0,185,185,0.0,0.0,10.0,0.0,0.0,0.0,0.0,,0.3,10.3,2.0,0.0
T05435,2.0,2021-07-04 05:46:59,2021-07-04 05:55:31,N,1.0,129,129,1.0,1.6,8.0,0.5,0.5,0.0,0.0,,0.3,9.3,1.0,0.0
T01026,2.0,2021-07-01 14:45:59,2021-07-01 15:59:37,N,1.0,21,197,1.0,16.69,58.0,0.0,0.5,0.0,0.0,,0.3,58.8,1.0,0.0
T09438,2.0,2021-07-06 20:36:51,2021-07-06 20:50:33,N,1.0,244,239,1.0,5.57,17.5,0.5,0.5,4.31,0.0,,0.3,25.86,1.0,2.75
T09471,2.0,2021-07-06 20:05:43,2021-07-06 20:16:04,N,1.0,66,33,1.0,1.45,8.5,0.5,0.5,1.96,0.0,,0.3,11.76,1.0,0.0
T02630,2.0,2021-07-02 12:26:29,2021-07-02 12:46:10,N,1.0,33,137,1.0,5.92,20.5,0.0,0.5,4.81,0.0,,0.3,28.86,1.0,2.75
T05769,2.0,2021-07-04 13:57:38,2021-07-04 14:12:35,N,1.0,95,56,1.0,2.29,12.0,0.0,0.5,1.0,0.0,,0.3,13.8,1.0,0.0
T01590,1.0,2021-07-01 19:04:10,2021-07-01 19:40:58,N,5.0,157,246,1.0,7.7,35.0,0.0,0.0,0.0,6.55,,0.3,41.85,1.0,0.0
T03925,2.0,2021-07-03 02:06:58,2021-07-03 02:13:49,N,1.0,82,7,1.0,2.18,9.0,0.5,0.5,0.0,0.0,,0.3,10.3,1.0,0.0
T04439,1.0,2021-07-03 13:37:09,2021-07-03 13:44:00,N,1.0,74,75,1.0,1.3,6.5,0.0,0.5,1.8,0.0,,0.3,9.1,1.0,0.0
T02830,1.0,2021-07-02 14:36:38,2021-07-02 14:58:19,N,5.0,157,148,1.0,6.0,27.0,0.0,0.0,0.0,0.0,,0.3,27.3,1.0,0.0
T09349,2.0,2021-07-06 19:38:25,2021-07-06 19:50:21,N,1.0,95,121,1.0,3.22,12.0,1.0,0.5,0.0,0.0,,0.3,13.8,1.0,0.0
T04975,2.0,2021-07-03 18:29:11,2021-07-03 18:36:34,N,1.0,74,75,2.0,1.28,7.0,0.0,0.5,0.0,0.0,,0.3,7.8,1.0,0.0
T08821,2.0,2021-07-06 15:32:13,2021-07-06 15:37:18,N,1.0,75,43,1.0,0.97,6.0,0.0,0.5,0.0,0.0,,0.3,6.8,1.0,0.0
T09522,1.0,2021-07-06 22:48:47,2021-07-06 22:54:11,N,1.0,74,75,1.0,1.5,6.5,0.5,0.5,0.0,0.0,,0.3,7.8,1.0,0.0
T01425,2.0,2021-07-01 17:36:57,2021-07-01 17:51:17,N,1.0,74,238,1.0,3.04,12.0,1.0,0.5,3.31,0.0,,0.3,19.86,1.0,2.75
T07987,2.0,2021-07-06 08:31:29,2021-07-06 08:34:04,N,1.0,24,151,1.0,0.58,4.0,0.0,0.5,0.96,0.0,,0.3,5.76,1.0,0.0
T00041,2.0,2021-07-01 02:06:22,2021-07-01 02:19:24,N,1.0,41,250,1.0,7.42,22.0,0.5,0.5,0.0,0.0,,0.3,23.3,1.0,0.0
T03304,2.0,2021-07-02 17:12:19,2021-07-02 17:28:48,N,1.0,166,142,1.0,2.67,13.0,1.0,0.5,0.88,0.0,,0.3,18.43,1.0,2.75
T07816,2.0,2021-07-06 01:21:13,2021-07-06 01:29:07,N,5.0,42,243,1.0,2.99,16.0,0.0,0.0,0.0,0.0,,0.3,16.3,2.0,0.0
T08723,2.0,2021-07-06 14:29:44,2021-07-06 14:46:03,N,1.0,116,41,1.0,2.24,12.0,0.0,0.5,0.0,0.0,,0.3,12.8,1.0,0.0
T05980,2.0,2021-07-04 16:00:48,2021-07-04 16:33:52,N,1.0,136,51,1.0,14.94,44.0,0.0,0.5,0.0,0.0,,0.3,44.8,1.0,0.0
T07021,1.0,2021-07-05 15:50:22,2021-07-05 16:16:51,N,1.0,74,182,1.0,5.6,21.5,0.0,0.5,4.45,0.0,,0.3,26.75,1.0,0.0
T02148,1.0,2021-07-02 08:12:01,2021-07-02 08:36:57,N,1.0,131,72,1.0,0.0,24.2,0.0,0.5,0.0,0.0,,0.3,25.0,1.0,0.0
T07036,2.0,2021-07-05 15:39:37,2021-07-05 15:51:39,N,1.0,235,69,1.0,1.71,9.5,0.0,0.5,0.0,0.0,,0.3,10.3,1.0,0.0
T05766,2.0,2021-07-04 13:45:32,2021-07-04 13:54:45,N,1.0,92,252,1.0,2.3,10.0,0.0,0.5,0.0,0.0,,0.3,10.8,1.0,0.0
T08453,2.0,2021-07-06 12:14:55,2021-07-06 12:33:53,N,1.0,41,239,1.0,3.01,14.5,0.0,0.5,3.61,0.0,,0.3,21.66,1.0,2.75
T00348,2.0,2021-07-01 08:56:50,2021-07-01 09:05:07,N,1.0,7,7,1.0,1.18,7.5,0.0,0.5,0.0,0.0,,0.3,8.3,1.0,0.0
T03653,2.0,2021-07-02 19:16:01,2021-07-02 19:33:05,N,1.0,65,61,1.0,3.23,13.5,0.5,0.5,0.0,0.0,,0.3,14.8,1.0,0.0
T09795,1.0,2021-07-07 08:09:01,2021-07-07 08:42:47,N,5.0,160,161,3.0,8.4,36.0,0.0,0.0,0.0,0.0,,0.3,36.3,1.0,0.0
T02427,2.0,2021-07-02 10:43:10,2021-07-02 11:02:27,N,1.0,41,244,1.0,3.28,15.0,0.0,0.5,3.16,0.0,,0.3,18.96,1.0,0.0
T06603,2.0,2021-07-05 09:52:33,2021-07-05 09:53:34,N,1.0,193,193,1.0,0.0,2.5,0.0,0.5,0.66,0.0,,0.3,3.96,1.0,0.0
T03572,1.0,2021-07-02 19:21:53,2021-07-02 19:40:48,N,1.0,243,119,1.0,1.6,12.5,1.0,0.5,0.0,0.0,,0.3,14.3,1.0,0.0
T04986,2.0,2021-07-03 18:04:30,2021-07-03 18:07:16,N,1.0,43,236,1.0,0.59,4.0,0.0,0.5,1.51,0.0,,0.3,9.06,1.0,2.75
T06014,2.0,2021-07-04 16:57:19,2021-07-04 17:11:45,N,1.0,49,181,1.0,0.0,9.5,0.0,0.5,5.0,0.0,,0.3,15.3,1.0,0.0
T03185,2.0,2021-07-02 16:32:04,2021-07-02 16:36:22,N,1.0,75,236,1.0,0.78,5.0,1.0,0.5,1.91,0.0,,0.3,11.46,1.0,2.75
T07424,1.0,2021-07-05 18:26:05,2021-07-05 18:36:41,N,1.0,41,127,3.0,4.3,14.0,0.0,0.5,0.0,0.0,,0.3,14.8,1.0,0.0
T03075,2.0,2021-07-02 15:19:43,2021-07-02 16:47:11,N,1.0,134,130,1.0,12.76,59.0,0.0,0.5,0.0,0.0,,0.3,59.8,1.0,0.0
T04307,2.0,2021-07-03 11:50:14,2021-07-03 11:56:16,N,1.0,260,226,1.0,1.14,6.5,0.0,0.5,0.0,0.0,,0.3,7.3,1.0,0.0
T06756,1.0,2021-07-05 11:23:26,2021-07-05 11:39:04,N,1.0,82,226,1.0,3.1,14.0,0.0,0.5,0.0,0.0,,0.3,14.8,1.0,0.0
T08172,2.0,2021-07-06 09:38:26,2021-07-06 09:50:09,N,1.0,244,166,1.0,2.48,11.0,0.0,0.5,2.95,0.0,,0.3,14.75,1.0,0.0
T07174,1.0,2021-07-05 16:42:43,2021-07-05 16:50:53,N,1.0,41,42,1.0,2.1,8.5,0.0,0.5,0.0,0.0,,0.3,9.3,1.0,0.0
T09177,1.0,2021-07-06 17:30:23,2021-07-06 17:33:43,N,1.0,75,74,2.0,0.8,4.5,1.0,0.5,1.25,0.0,,0.3,7.55,1.0,0.0
T00760,2.0,2021-07-01 12:08:27,2021-07-01 12:27:30,N,1.0,74,247,1.0,2.49,14.0,0.0,0.5,0.0,0.0,,0.3,14.8,1.0,0.0
T06788,1.0,2021-07-05 12:29:47,2021-07-05 12:43:34,N,1.0,235,200,1.0,0.0,16.2,0.0,0.5,0.0,0.0,,0.3,17.0,1.0,0.0
T03872,2.0,2021-07-02 23:58:18,2021-07-03 00:25:12,N,1.0,75,242,1.0,10.57,32.0,0.5,0.5,0.0,0.0,,0.3,33.3,1.0,0.0
T02442,2.0,2021-07-02 10:48:46,2021-07-02 10:56:44,N,1.0,74,43,1.0,1.38,7.5,0.0,0.5,0.0,0.0,,0.3,8.3,1.0,0.0
T00258,2.0,2021-07-01 08:33:53,2021-07-01 08:41:44,N,1.0,74,43,1.0,1.34,7.5,0.0,0.5,1.66,0.0,,0.3,9.96,1.0,0.0
T08982,2.0,2021-07-06 16:01:58,2021-07-06 16:34:24,N,1.0,74,51,1.0,9.97,31.5,1.0,0.5,0.0,0.0,,0.3,33.3,1.0,0.0
T02126,2.0,2021-07-02 08:41:11,2021-07-02 08:54:41,N,1.0,130,138,1.0,7.59,22.0,0.0,0.5,4.56,0.0,,0.3,27.36,1.0,0.0
T04135,1.0,2021-07-03 10:29:18,2021-07-03 10:52:26,N,1.0,247,260,1.0,0.0,22.2,0.0,0.5,0.0,6.55,,0.3,29.55,1.0,0.0
T09864,1.0,2021-07-07 08:02:15,2021-07-07 08:20:11,N,1.0,152,90,1.0,6.4,21.0,2.75,0.5,3.0,0.0,,0.3,27.55,1.0,2.75
T02306,1.0,2021-07-02 09:15:02,2021-07-02 09:33:49,N,1.0,166,140,1.0,4.1,15.5,2.75,0.5,0.0,0.0,,0.3,19.05,1.0,2.75
T03995,2.0,2021-07-03 07:59:33,2021-07-03 08:08:23,N,1.0,75,75,1.0,3.76,13.0,0.0,0.5,6.2,0.0,,0.3,20.0,1.0,0.0
T06354,2.0,2021-07-04 21:11:32,2021-07-04 21:21:45,N,1.0,42,24,1.0,2.3,10.0,0.5,0.5,0.0,0.0,,0.3,11.3,1.0,0.0
T08726,2.0,2021-07-06 14:45:42,2021-07-06 15:02:39,N,1.0,41,246,1.0,6.53,21.0,0.0,0.5,4.91,0.0,,0.3,29.46,1.0,2.75
T09857,2.0,2021-07-07 08:55:12,2021-07-07 09:59:56,N,1.0,197,97,1.0,16.47,55.5,0.0,0.5,0.0,0.0,,0.3,56.3,1.0,0.0
T04934,2.0,2021-07-03 18:40:13,2021-07-03 18:47:27,N,1.0,168,47,1.0,1.21,6.5,0.0,0.5,0.0,0.0,,0.3,7.3,1.0,0.0
T04890,2.0,2021-07-03 17:47:20,2021-07-03 18:04:51,N,1.0,41,143,1.0,3.88,15.0,0.0,0.5,5.56,0.0,,0.3,24.11,1.0,2.75
T09677,2.0,2021-07-07 07:56:05,2021-07-07 08:15:32,N,1.0,41,164,1.0,4.39,16.5,0.0,0.5,3.0,0.0,,0.3,23.05,1.0,2.75
T02422,1.0,2021-07-02 10:59:51,2021-07-02 11:23:58,N,1.0,41,237,1.0,3.8,18.0,2.75,0.5,0.0,0.0,,0.3,21.55,1.0,2.75
